age,market_value_in_eur
17,1091666.6666666667
18,978947.3684210526
19,510184.5018450185
20,298230.24054982816
21,289567.7419354839
22,317600.9791921665
23,313811.05398457585
24,393288.63346104725
25,328304.97382198955
26,240617.02127659574
27,206867.89772727274
28,232849.74093264248
29,194736.26373626373
30,190149.40239043825
31,206929.0465631929
32,218502.47524752477
33,200182.3708206687
34,188574.21875
35,157367.02127659574
36,168868.61313868614
37,351745.28301886795
38,319225.3521126761
39,1113235.294117647
40,272222.22222222225
41,720454.5454545454
42,930555.5555555555
43,4500000.0
44,600000.0
