league,rank,team_name,points,played,win,draw,lose,goals_diff,form,last_update
Bundesliga,1,Bayern München,72,30,22,6,2,58,WDWWD,2025-04-21T00:00:00+00:00
Bundesliga,2,Bayer Leverkusen,64,30,18,10,2,29,DDWWW,2025-04-21T00:00:00+00:00
Bundesliga,3,Eintracht Frankfurt,52,30,15,7,8,16,DWLWW,2025-04-21T00:00:00+00:00
Bundesliga,4,RB Leipzig,49,30,13,10,7,10,DWWLW,2025-04-21T00:00:00+00:00
Bundesliga,5,SC Freiburg,48,30,14,6,10,-4,WWLLD,2025-04-21T00:00:00+00:00
Bundesliga,6,FSV Mainz 05,47,30,13,8,9,12,DLDLD,2025-04-21T00:00:00+00:00
Bundesliga,7,Borussia Dortmund,45,30,13,6,11,10,WDWWL,2025-04-21T00:00:00+00:00
Bundesliga,8,Werder Bremen,45,30,13,6,11,-6,WWWWL,2025-04-21T00:00:00+00:00
Bundesliga,9,Borussia Mönchengladbach,44,30,13,5,12,2,LLDWW,2025-04-21T00:00:00+00:00
Bundesliga,10,FC Augsburg,43,30,11,10,9,-7,DWLDW,2025-04-21T00:00:00+00:00
Bundesliga,11,VfB Stuttgart,41,30,11,8,11,6,DLWLL,2025-04-21T00:00:00+00:00
Bundesliga,12,VfL Wolfsburg,39,30,10,9,11,6,DLLLL,2025-04-21T00:00:00+00:00
Bundesliga,13,Union Berlin,35,30,9,8,13,-14,DDWWD,2025-04-21T00:00:00+00:00
Bundesliga,14,FC St. Pauli,30,30,8,6,16,-10,DWDLW,2025-04-21T00:00:00+00:00
Bundesliga,15,1899 Hoffenheim,30,30,7,9,14,-17,LWLDL,2025-04-21T00:00:00+00:00
Bundesliga,16,1. FC Heidenheim,22,30,6,4,20,-28,LLLWW,2025-04-21T00:00:00+00:00
Bundesliga,17,VfL Bochum,20,30,5,5,20,-33,LLLLL,2025-04-21T00:00:00+00:00
Bundesliga,18,Holstein Kiel,19,30,4,7,19,-30,DLDLL,2025-04-21T00:00:00+00:00
