league,rank,team_name,points,played,win,draw,lose,goals_diff,form,last_update
La Liga,1,Barcelona,76,33,24,4,5,57,WWWDW,2025-04-23T00:00:00+00:00
La Liga,2,Real Madrid,69,32,21,6,5,34,WWLWW,2025-04-23T00:00:00+00:00
La Liga,3,Atletico Madrid,63,32,18,9,5,26,LWWDL,2025-04-23T00:00:00+00:00
La Liga,4,Athletic Club,57,32,15,12,5,23,LWDDW,2025-04-23T00:00:00+00:00
La Liga,5,Villarreal,52,31,14,10,7,13,DWDWL,2025-04-23T00:00:00+00:00
La Liga,6,Real Betis,51,32,14,9,9,5,WLDWW,2025-04-23T00:00:00+00:00
La Liga,7,Mallorca,44,33,12,8,13,-7,LDWLL,2025-04-23T00:00:00+00:00
La Liga,8,Celta Vigo,43,32,12,7,13,-2,LLWDW,2025-04-23T00:00:00+00:00
La Liga,9,Real Sociedad,42,32,12,6,14,-4,DLWWD,2025-04-23T00:00:00+00:00
La Liga,10,Rayo Vallecano,41,32,10,11,11,-4,DLLWD,2025-04-23T00:00:00+00:00
La Liga,11,Osasuna,41,32,9,14,9,-7,WWDDL,2025-04-23T00:00:00+00:00
La Liga,12,Getafe,39,32,10,9,13,2,LLWLW,2025-04-23T00:00:00+00:00
La Liga,13,Espanyol,39,32,10,9,13,-6,DWWWD,2025-04-23T00:00:00+00:00
La Liga,14,Valencia,39,33,9,12,12,-12,DDWWW,2025-04-23T00:00:00+00:00
La Liga,15,Sevilla,37,32,9,10,13,-8,DLLLL,2025-04-23T00:00:00+00:00
La Liga,16,Girona,34,32,9,7,16,-12,LLLLD,2025-04-23T00:00:00+00:00
La Liga,17,Las Palmas,32,32,8,8,16,-14,WWLDD,2025-04-23T00:00:00+00:00
La Liga,18,Alaves,31,32,7,10,15,-12,DLWLD,2025-04-23T00:00:00+00:00
La Liga,19,Leganes,29,32,6,11,15,-19,DLDLL,2025-04-23T00:00:00+00:00
La Liga,20,Valladolid,16,32,4,4,24,-53,LLLLL,2025-04-23T00:00:00+00:00
