league,rank,team_name,points,played,win,draw,lose,goals_diff,form,last_update
Ligue 1,1,Paris Saint Germain,78,30,24,6,0,55,DWWWW,2025-04-23T00:00:00+00:00
Ligue 1,2,Marseille,55,30,17,4,9,20,WLWLL,2025-04-23T00:00:00+00:00
Ligue 1,3,Monaco,54,30,16,6,8,22,DWLWW,2025-04-23T00:00:00+00:00
Ligue 1,4,Lille,53,30,15,8,7,15,WWLWL,2025-04-23T00:00:00+00:00
Ligue 1,5,Nice,51,30,14,9,7,18,WDLLD,2025-04-23T00:00:00+00:00
Ligue 1,6,Lyon,51,30,15,6,9,17,LWWLW,2025-04-23T00:00:00+00:00
Ligue 1,7,Strasbourg,51,30,14,9,7,11,DDWWW,2025-04-23T00:00:00+00:00
Ligue 1,8,Lens,45,30,13,6,11,2,WLWLW,2025-04-23T00:00:00+00:00
Ligue 1,9,Stade Brestois 29,44,30,13,5,12,-1,LDWWD,2025-04-23T00:00:00+00:00
Ligue 1,10,Rennes,38,30,12,2,16,5,WWLWL,2025-04-23T00:00:00+00:00
Ligue 1,11,Auxerre,38,30,10,8,12,-4,LLWWD,2025-04-23T00:00:00+00:00
Ligue 1,12,Toulouse,34,30,9,7,14,-1,LLLLL,2025-04-23T00:00:00+00:00
Ligue 1,13,Reims,32,30,8,8,14,-10,WWLWD,2025-04-23T00:00:00+00:00
Ligue 1,14,Nantes,31,30,7,10,13,-15,DLWLW,2025-04-23T00:00:00+00:00
Ligue 1,15,Angers,30,30,8,6,16,-19,LWLLL,2025-04-23T00:00:00+00:00
Ligue 1,16,LE Havre,27,30,8,3,19,-31,LLWWL,2025-04-23T00:00:00+00:00
Ligue 1,17,Saint Etienne,27,30,7,6,17,-35,WDLLW,2025-04-23T00:00:00+00:00
Ligue 1,18,Montpellier,15,30,4,3,23,-49,LLLLL,2025-04-23T00:00:00+00:00
