league,rank,team_name,points,played,win,draw,lose,goals_diff,form,last_update
Serie A,1,Inter,71,33,21,8,4,40,LWDWW,2025-04-22T00:00:00+00:00
Serie A,2,Napoli,71,33,21,8,4,27,WWDWD,2025-04-22T00:00:00+00:00
Serie A,3,Atalanta,64,33,19,7,7,36,WWLLL,2025-04-22T00:00:00+00:00
Serie A,4,Bologna,60,33,16,12,5,15,WLDWW,2025-04-22T00:00:00+00:00
Serie A,5,Juventus,59,32,15,14,3,19,WDWLL,2025-04-22T00:00:00+00:00
Serie A,6,AS Roma,57,33,16,9,8,16,WDDWW,2025-04-22T00:00:00+00:00
Serie A,7,Lazio,56,32,16,8,8,10,DWDLD,2025-04-22T00:00:00+00:00
Serie A,8,Fiorentina,53,32,15,8,9,17,DDWWL,2025-04-22T00:00:00+00:00
Serie A,9,AC Milan,51,33,14,9,10,13,LWDLW,2025-04-22T00:00:00+00:00
Serie A,10,Torino,40,32,9,13,10,-1,LDDWD,2025-04-22T00:00:00+00:00
Serie A,11,Udinese,40,32,11,7,14,-10,LLLLD,2025-04-22T00:00:00+00:00
Serie A,12,Genoa,39,32,9,12,11,-9,DWLWD,2025-04-22T00:00:00+00:00
Serie A,13,Como,39,33,10,9,14,-5,WWWDL,2025-04-22T00:00:00+00:00
Serie A,14,Verona,32,33,9,5,19,-30,LDDDW,2025-04-22T00:00:00+00:00
Serie A,15,Cagliari,30,32,7,9,16,-15,LDWLD,2025-04-22T00:00:00+00:00
Serie A,16,Parma,28,32,5,13,14,-14,DDDDD,2025-04-22T00:00:00+00:00
Serie A,17,Lecce,26,33,6,8,19,-32,LLDLL,2025-04-22T00:00:00+00:00
Serie A,18,Venezia,25,33,4,13,16,-19,DWDLD,2025-04-22T00:00:00+00:00
Serie A,19,Empoli,25,33,4,13,16,-26,DLDDL,2025-04-22T00:00:00+00:00
Serie A,20,Monza,15,33,2,9,22,-32,LLLLD,2025-04-22T00:00:00+00:00
