age,market_value_in_eur
17,1091666.6666666667
18,1000000.0
19,507912.0879120879
20,298230.24054982816
21,289567.7419354839
22,317683.82352941175
23,313729.1399229782
24,393288.63346104725
25,328304.97382198955
26,240968.66096866096
27,206661.95190947666
28,232849.74093264248
29,194736.26373626373
30,190429.14171656687
31,206581.85840707965
32,218502.47524752477
33,200182.3708206687
34,188681.10236220472
35,157552.63157894736
36,168868.61313868614
37,351745.28301886795
38,319225.3521126761
39,1113235.294117647
40,272222.22222222225
41,720454.5454545454
42,930555.5555555555
43,4500000.0
44,600000.0
