,market_value_in_eur,market_value_in_eur,market_value_in_eur
,mean,median,count
sub_position,,,
Attacking Midfield,324657.14,100000.0,700
Central Midfield,318831.11,100000.0,1202
Centre-Back,239009.13,100000.0,1753
Centre-Forward,313552.4,100000.0,1269
Defensive Midfield,248913.33,100000.0,750
Goalkeeper,129301.72,50000.0,1160
Left Midfield,171086.96,100000.0,69
Left Winger,438915.66,125000.0,747
Left-Back,266619.72,100000.0,710
Right Midfield,186493.51,75000.0,77
Right Winger,463727.68,100000.0,672
Right-Back,238291.88,100000.0,764
Second Striker,398809.52,162500.0,42
